"States","t","totalPopulation","totalLaborForce","perCapitaGDP"
"Illinois",2007,12695866,6665601,53015
"Indiana",2007,6379599,3207687,44344
"Iowa",2007,2999212,1660677,47406
"Kansas",2007,2783785,1483458,45206
"Kentucky",2007,4256672,2032082,38185
"Louisiana",2007,4375581,2030434,46890
"Maine",2007,1327040,700468,38822
"Maryland",2007,5653408,2970094,53290
"Massachusetts",2007,6431559,3426009,60787
"Michigan",2007,10001284,5011120,42036
"Minnesota",2007,5207203,2906390,51473
"Mississippi",2007,2928350,1303514,32222
"Missouri",2007,5887612,3034579,42782
"Montana",2007,964706,502070,37765
"Nebraska",2007,1783440,978763,48069
"Nevada",2007,2601072,1330396,52384
"New Hampshire",2007,1312540,737942,47522
"New Jersey",2007,8677885,4441797,57972
"New Mexico",2007,1990070,934027,40413
"New York",2007,19132335,9522056,60291
"North Carolina",2007,9118037,4512856,45285
"North Dakota",2007,652822,367234,44087
"Ohio",2007,11500468,5990292,44584
"Oklahoma",2007,3634349,1726259,39289
"Oregon",2007,3722417,1921766,46385
"Pennsylvania",2007,12563937,6342997,45834
"Rhode Island",2007,1057315,573173,47045
"South Carolina",2007,4444110,2125891,37920
"South Dakota",2007,791623,442499,43740
"Tennessee",2007,6175727,3063669,41241
"Texas",2007,23831983,11431631,49068
"Utah",2007,2597746,1359129,45332
"Vermont",2007,623481,353739,41330
"Virginia",2007,7751000,4036835,52561
"Washington",2007,6461587,3403163,54931
"West Virginia",2007,1834052,811160,33716
"Wisconsin",2007,5610775,3087828,45533
"Wyoming",2007,534876,286560,66302
"Alabama",2008,4718206,2176489,37176
"Arizona",2008,6280362,3104863,42168
"Arkansas",2008,2874554,1375257,35774
"California",2008,36604337,18178123,54713
"Colorado",2008,4889730,2716625,51726
"Connecticut",2008,3545579,1881454,66880
"Delaware",2008,883874,447041,61346
"District of Columbia",2008,580236,330544,172523
"Florida",2008,18527305,9215524,41569
"Georgia",2008,9504843,4879253,44138
"Idaho",2008,1534320,755153,36740
"Illinois",2008,12747038,6657227,51621
"Indiana",2008,6424806,3232097,43760
"Iowa",2008,3016734,1679293,46097
"Kansas",2008,2808076,1499676,45380
"Kentucky",2008,4289878,2030738,37858
"Louisiana",2008,4435586,2084835,46443
"Maine",2008,1330509,701646,38453
"Maryland",2008,5684965,3001953,53471
"Massachusetts",2008,6468967,3452468,60506
"Michigan",2008,9946889,4921466,40097
